,0
0,(DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~V0[i+1]) | (DL[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i]) | (DL[i+1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & V1[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V0[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i]) | (DL[i-1] & DL[i] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i]) | (V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & DL[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1])
1,(DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1])
2,(V1[i] & ~V0[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & DL[i] & V0[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1])
3,(DL[i+1] & V0[i-1] & V1[i+1] & ~V0[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & V1[i] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1]) | (DL[i+1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i]) | (V0[i-1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
4,(~V0[i] & ~V1[i]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i])
5,(V0[i] & V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i])
6,(DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V0[i+1] & ~V1[i+1]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1])
7,(DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1])
8,(DL[i+1] & V0[i+1] & V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V0[i] & V1[i-1]) | (DL[i+1] & V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & V0[i] & V1[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
9,(V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i+1]) | (V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i]) | (V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1])
